,0,1,2
1019,hermione,hang,
1020,fred,say,
1021,,find,range
1022,ginny,raise,eyebrow
1023,george,say,
1024,,get,boy
1025,ginny,say,
1026,fred,say,
1027,ginny,say,
1028,george,say,
1029,t,breed,
1030,ginny,say,
1031,fred,concede,
1032,ginny,turn,
1033,fred,recoil,
1034,fred,say,
1035,,knock,knut
1036,,get,galleons
1037,ron,drop,box
1038,ginny,say,
1039,weasley,say,
1040,weasley,move,
1041,malfoy,hurry,
1042,harry,say,
1043,ron,say,
1044,hermione,say,
1045,malfoy,make,effort
1046,weasley,bend,
1047,weasley,examine,card
1048,fred,help,customer
1049,hagrid,stand,
1050,harry,say,
1051,hermione,say,
1052,ron,say,
1053,harry,squeeze,way
1054,harry,murmur,
1055,turning,leave,
1056,malfoy,glance,
1057,harry,say,
1058,hermione,say,
1059,harry,say,
1060,alley,look,
1061,harry,suppose,
1062,hermione,give,pinch
1063,,draw,level
1064,,stand,malfoy
1065,proprietor,stand,
1066,,wear,expression
1067,hermione,say,
1068,ron,say,
1069,,drop,more
1070,ears,look,
1071,hermione,say,
1072,ron,say,
1073,,put,head
1074,borgin,say,
1075,malfoy,say,
1076,harry,saw,
1077,this,make,
1078,harry,shuffle,sideways
1079,maifoy,say,
1080,,know,greyback
1081,malfoy,say,
1082,man,carry,that
1083,borgin,make,bow
1084,word,understand,
1085,bell,tinkle,
1086,dunno,think,
1087,hermione,duck,
1088,,check,hair
1089,ron,feed,ears
1090,hermione,say,
1091,hermione,stroll,
1092,borgin,say,
1093,hermione,say,
1094,borgin,squint,
1095,hermione,felt,
1096,hermione,wait,
1097,borgin,slam,door
1098,ron,say,
1099,ron,bicker,
1100,harry,spend,lot
1101,ron,seem,
1102,hermione,say,
1103,ron,say,
1104,,ask,harry
1105,that,sound,
1106,harry,say,
1107,,think,malfoyd
1108,ron,look,
1109,harry,break,
1110,thought,occur,
1111,hermione,say,
1112,,ask,ron
1113,harry,say,
1114,,replace,father
1115,ron,erupt,
1116,hermione,say,
1117,ron,look,
1118,ron,say,
1119,hermione,say,
1120,,show,borgin
1121,ron,exchange,look
1122,,reckon,know
1123,weasley,urge,
1124,harry,smile,
1125,ginny,look,togezzer
1126,weasley,say,
1127,,get,car
1128,tonks,go,
1129,,ask,harry
1130,weasley,say,
1131,car,glide,
1132,fleur,say,
1133,ron,hurry,
1134,aurors,move,
1135,weasley,say,
1136,harry,say,
1137,,push,trolley
1138,hermione,join,
1139,harry,motion,
1140,hermione,say,
1141,ron,get,
1142,harry,say,
1143,weasley,say,
1144,harry,say,
1145,weasley,say,
1146,harry,think,
1147,harry,begin,
1148,,follow,malfoy
1149,,use,cloak
1150,harry,say,
1151,,give,slip
1152,weasley,say,
1153,harry,say,
1154,harry,take,breath
1155,1,think,
1156,,ask,harry
1157,weasley,say,
1158,,raid,house
1159,harry,say,
1160,weasley,say,
1161,,board,train
1162,weasley,say,
1163,weasley,say,
1164,harry,wave,
1165,,make,way
1166,people,star,
1167,,press,face
1168,,expect,upswing
1169,,tap,ginny
1170,fancy,try,
1171,ginny,say,
1172,harry,say,
1173,voice,say,
1174,harry,say,
1175,girl,say,
1176,luna,say,
1177,letter,announce,
1178,quibbler,go,
1179,,ask,harry
1180,luna,say,
1181,harry,say,
1182,,find,compartment
1183,neville,say,
1184,harry,say,
1185,neville,say,
1186,,buy,wand
1187,,do,d.a.
1188,,ask,luna
1189,harry,say,
1190,neville,bump,head
1191,,like,d.a.
1192,,learn,load
1193,luna,say,
1194,group,whisper,
1195,one,push,way
1196,harry,say,
1197,girl,say,
1198,harry,say,
1199,,push,spectrespecs
1200,neville,say,
1201,potter,get,backbone
1202,harry,laugh,
1203,harry,watch,
1204,prophecy,refer,
1205,voldemort,choose,neville
1206,neville,sit,
1207,mother,die,
1208,neville,say,
1209,harry,start,
1210,wrackspurt,get,
1211,,ask,luna
1212,,flap,hand
1213,harry,catch,eye
1214,ron,say,
1215,malfoy,do,duty
1216,harry,sit,
1217,ron,say,
1218,mind,race,
1219,this,look,
1220,hermione,say,
1221,harry,say,
1222,door,slide,
1223,,hold,scroll
1224,perplexed,take,scroll
1225,ron,demand,
1226,harry,say,
1227,,ask,neville
1228,harry,say,
1229,harry,stow,
1230,student,hurtle,
1231,harry,push,
1232,slughorn,say,
1233,head,gleam,
1234,neville,nod,
1235,harry,glance,
1236,slughorn,ask,harry
1237,mclaggen,raise,hand
1238,belby,give,smile
1239,lady,tell,
1240,slughorn,finish,
1241,ginny,grimace,
1242,slughorn,say,
1243,,take,napkin
1244,,pack,lunch
1245,belby,start,
1246,slughorn,tell,harry
1247,,see,much
1248,slughorn,say,
1249,slughorn,say,
1250,belby,say,
1251,voice,tail,
1252,slughorn,say,
1253,mclaggen,say,
1254,,know,bertie
1255,zabini,turn,
1256,slughorn,say,
1257,,contemplate,harry
1258,harry,say,
1259,belby,star,
1260,slughorn,say,
1261,zabini,give,cough
1262,voice,burst,
1263,,chuckle,slughorn
1264,zabini,look,
1265,harry,say,
1266,slughorn,beam,
1267,rest,know,
1268,neville,say,
1269,ginny,say,
1270,slughorn,say,
1271,slughorn,say,
1272,afternoon,wear,
1273,harry,wait,
1274,train,emerge,
1275,zabini,shoot,look
1276,,follow,zabini
1277,,mutter,neville
1278,harry,say,
1279,ginny,say,
1280,,remember,that
1281,harry,say,
1282,idea,occur,
1283,zabini,go,
1284,harry,say,
1285,,ask,neville
1286,zabini,slide,
1287,zabini,say,
1288,zabini,cling,
1289,crabbe,return,
1290,harry,lay,
1291,harry,read,word
1292,malfoy,say,
1293,zabini,say,
1294,information,seem,
1295,zabini,say,
1296,malfoy,say,
1297,pansy,say,
1298,zabini,finish,
1299,malfoy,sit,
1300,,invite,longbottom
1301,zabini,say,
1302,longbottom,get,
1303,zabini,shrug,
1304,,want,malfoy
1305,pansy,say,
1306,zabini,say,
1307,malfoy,sink,
1308,,pity,taste
1309,father,say,
1310,father,use,
1311,slughorn,hear,
1312,zabini,say,
1313,1,think,
1314,malfoy,look,
1315,malfoy,yawn,
1316,pansy,say,
1317,malfoy,say,
1318,heart,begin,
1319,ron,say,
1320,,have,inkling
1321,zabini,allow,look
1322,pansy,resume,stroking
1323,malfoy,shrug,
1324,mother,want,
1325,,ask,zabini
1326,malfoy,say,
1327,crabbe,sit,
1328,pansy,gaze,
1329,malfoy,say,
1330,,hit,harry
1331,,let,gasp
1332,,draw,wand
1333,train,come,
1334,crabbe,follow,
1335,malfoy,tell,pansy
1336,pansy,leave,
1337,people,file,
1338,malfoy,move,
1339,harry,peer,
1340,malfoy,want,
1341,malfoy,point,wand
1342,cloak,trap,
1343,eye,linger,
1344,blood,spurt,
1345,malfoy,drag,cloak
1346,malfoy,leave,compartment
1347,harry,move,muscle
1348,realization,come,
1349,harry,hat,malfoy
1350,situation,land,
1351,,hear,scraping
1352,ron,think,
1353,feeling,spread,
1354,train,lurch,
1355,floor,begin,
1356,express,leave,
1357,harry,hurry,
1358,,pull,door
1359,air,soothe,
1360,,hand,cloak
1361,harry,say,
1362,tonks,say,
1363,,fix,nose
1364,tonks,say,
1365,nose,felt,
1366,,raise,hand
1367,creature,erupt,
1368,,ask,harry
1369,,send,word
1370,,think,check
1371,harry,ask,
1372,tonks,say,
1373,,trudge,lane
1374,harry,look,
1375,,make,joke
1376,harry,appreciate,
1377,,saw,pillar
1378,tonks,say,
1379,dumbledore,bewitch,
1380,tonks,say,
1381,harry,say,
1382,tonks,say,
1383,lantern,bob,
1384,nice,turn,
1385,harry,begin,
1386,tonks,say,
1387,snape,say,
1388,,shut,gate
1389,snape,say,
1390,one,look,
1391,harry,saw,look
1392,snape,speak,
1393,harry,felt,
